,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA
429,1627732,14,183,111,91,32,9,49,0.565,0.553,1.0,46.0
431,1629014,17,188,25,31,10,2,15,0.75,0.436,0.368,32.0
433,203935,15,184,75,53,20,7,16,0.864,0.381,0.346,22.0
434,202397,14,107,58,46,9,7,16,0.5,0.426,0.333,10.0
436,1628372,10,56,25,12,4,1,13,0.625,0.355,0.389,8.0
437,203503,13,120,23,19,7,2,6,1.0,0.462,0.455,4.0
438,1629016,16,119,18,88,10,8,22,0.767,0.424,0.387,30.0
439,1629622,1,5,0,1,0,0,0,1.0,0.667,0.0,1.0
440,1628410,3,21,6,3,5,1,1,0.6,0.5,0.0,5.0
441,1628403,4,3,0,4,1,2,3,0.5,0.5,0.0,2.0
442,1628369,15,308,37,105,21,10,28,0.793,0.409,0.371,58.0
443,201952,12,158,92,32,11,4,27,0.82,0.435,0.267,61.0
444,202066,16,138,25,44,17,9,12,0.773,0.387,0.341,22.0
445,1628464,13,85,17,96,8,21,10,0.68,0.465,0.167,25.0
446,202738,12,153,67,19,5,3,25,0.909,0.444,0.424,11.0
447,1629017,2,1,0,0,0,0,0,0.5,0.0,0.0,2.0
448,1629744,12,57,4,13,4,0,4,0.6,0.541,0.538,5.0
450,202684,15,223,35,148,13,20,23,0.667,0.525,0.429,48.0
451,1629680,15,52,15,15,20,11,18,0.643,0.333,0.346,14.0
452,201229,14,54,11,49,3,6,10,0.818,0.296,0.302,11.0
453,1626157,14,369,51,174,17,21,44,0.769,0.516,0.449,78.0
454,1629018,11,41,5,12,2,2,2,0.0,0.455,0.478,0.0
455,1629019,8,57,12,12,2,3,14,0.762,0.471,0.45,21.0
456,200782,17,168,23,102,23,9,16,0.786,0.534,0.452,14.0
457,202323,8,41,14,15,5,1,9,0.9,0.5,0.0,10.0
458,1626167,7,94,7,49,4,15,14,0.727,0.486,0.438,11.0
459,202685,15,178,29,134,3,9,33,0.957,0.529,0.333,23.0
460,1627756,3,12,1,4,0,0,1,0.0,0.444,0.571,0.0
461,1627832,15,272,115,59,27,2,39,0.91,0.388,0.37,67.0
462,1629020,3,0,1,2,0,0,1,0.0,0.0,0.0,0.0
463,203943,14,57,15,51,4,3,13,0.842,0.465,0.1,19.0
