,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
73,201584,7,4.7,0.4,0.4,0.0,0.3,0.1,0.0,0.591,0.583,0.0,3.1,1.7,8.9,2.3
74,1626156,16,21.5,6.2,3.4,0.9,0.3,3.3,0.74,0.425,0.343,4.6,17.9,8.4,31.0,-8.9
75,201571,26,9.5,4.8,2.4,0.7,0.0,1.4,0.894,0.379,0.307,2.5,8.1,3.4,25.6,-0.3
76,1628391,14,4.9,0.8,2.2,0.0,0.1,0.5,1.0,0.5,0.314,0.1,4.0,2.5,11.8,-0.1
77,1629610,2,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,5.4,2.5
78,1627745,26,7.7,0.7,4.0,0.4,0.9,0.7,0.686,0.717,0.4,2.0,4.3,0.2,18.7,-4.8
79,203081,24,26.3,7.5,4.4,1.0,0.4,2.8,0.909,0.443,0.362,7.3,18.4,9.1,36.6,1.9
80,1627814,14,10.7,1.8,3.7,0.6,0.0,1.1,0.825,0.411,0.313,2.9,8.9,3.4,22.6,-0.7
81,1628422,23,5.9,1.1,1.7,0.4,0.2,0.5,0.714,0.408,0.316,0.6,5.4,3.3,15.6,-2.1
82,1629655,18,4.6,0.2,1.7,0.1,1.2,0.2,0.476,0.735,0.0,1.2,2.7,0.0,11.1,-0.2
83,1628464,21,7.4,1.3,6.3,0.4,1.5,0.8,0.688,0.534,0.333,1.5,5.6,1.0,21.9,4.2
84,201568,24,17.6,2.1,5.8,0.7,0.1,1.5,0.91,0.427,0.388,4.6,12.6,6.9,30.5,0.6
85,201980,27,8.3,1.2,3.9,1.3,0.5,0.9,0.85,0.416,0.363,0.7,7.0,5.0,25.3,5.7
86,203957,11,2.2,0.6,1.1,0.1,0.2,0.9,1.0,0.435,0.333,0.2,2.1,0.5,7.6,-1.5
87,1627863,20,11.1,1.3,4.2,1.1,0.6,1.0,0.8,0.442,0.404,2.0,8.3,5.5,30.0,3.5
88,203967,25,11.4,2.2,7.6,0.8,0.4,1.3,0.86,0.432,0.331,1.7,9.6,4.8,28.5,2.4
89,1629647,25,3.8,0.5,3.6,0.3,0.4,0.8,0.65,0.374,0.341,0.8,3.6,1.8,16.5,-0.9
90,1629636,26,10.7,2.9,1.9,0.6,0.0,2.6,0.852,0.379,0.367,1.0,10.8,4.6,27.9,-6.9
91,1629133,4,0.8,0.3,0.0,0.0,0.0,0.5,0.0,0.333,0.5,0.0,0.8,0.5,3.5,0.0
92,1628021,18,4.9,0.3,2.2,0.5,0.6,0.4,0.636,0.516,0.435,1.2,3.4,1.3,13.0,1.3
